label,timestamp,S0_405nm,S0_425nm,S0_450nm,S0_475nm,S0_515nm,S0_550nm,S0_555nm,S0_600nm,S0_640nm,S0_690nm,S0_745nm,S0_855nm,S1_405nm,S1_425nm,S1_450nm,S1_475nm,S1_515nm,S1_550nm,S1_555nm,S1_600nm,S1_640nm,S1_690nm,S1_745nm,S1_855nm,S2_405nm,S2_425nm,S2_450nm,S2_475nm,S2_515nm,S2_550nm,S2_555nm,S2_600nm,S2_640nm,S2_690nm,S2_745nm,S2_855nm,S3_405nm,S3_425nm,S3_450nm,S3_475nm,S3_515nm,S3_550nm,S3_555nm,S3_600nm,S3_640nm,S3_690nm,S3_745nm,S3_855nm,S4_405nm,S4_425nm,S4_450nm,S4_475nm,S4_515nm,S4_550nm,S4_555nm,S4_600nm,S4_640nm,S4_690nm,S4_745nm,S4_855nm,S5_405nm,S5_425nm,S5_450nm,S5_475nm,S5_515nm,S5_550nm,S5_555nm,S5_600nm,S5_640nm,S5_690nm,S5_745nm,S5_855nm,S6_405nm,S6_425nm,S6_450nm,S6_475nm,S6_515nm,S6_550nm,S6_555nm,S6_600nm,S6_640nm,S6_690nm,S6_745nm,S6_855nm,S7_405nm,S7_425nm,S7_450nm,S7_475nm,S7_515nm,S7_550nm,S7_555nm,S7_600nm,S7_640nm,S7_690nm,S7_745nm,S7_855nm,AVG_405nm,AVG_425nm,AVG_450nm,AVG_475nm,AVG_515nm,AVG_550nm,AVG_555nm,AVG_600nm,AVG_640nm,AVG_690nm,AVG_745nm,AVG_855nm
Brick_0cm_S2,2026-04-25T09:50:04.972902,4,11,60,85,83,36,146,169,207,143,19,11,4,12,61,79,75,35,137,168,205,138,19,10,6,16,85,98,115,50,197,222,248,162,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,47,65,64,29,111,131,159,110,14,7,3,10,52,68,65,31,119,140,171,115,13,8,4,11,58,83,77,34,137,163,199,134,16,10,5,12,59,80,82,37,143,169,203,137,18,11,3.62,10.12,52.75,69.75,70.12,31.5,123.75,145.25,174.0,117.38,15.25,8.62
Brick_0cm_S2,2026-04-25T09:50:05.102352,4,11,60,85,83,36,145,170,207,144,19,10,4,12,61,78,75,35,138,168,205,139,19,10,6,16,85,98,115,50,197,222,248,162,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,47,65,64,29,111,131,159,110,14,7,3,10,51,68,65,31,119,140,171,115,13,8,4,11,58,83,77,34,137,163,199,134,16,10,5,12,59,80,82,37,144,169,203,137,18,11,3.62,10.12,52.62,69.62,70.12,31.5,123.88,145.38,174.0,117.62,15.25,8.5
Brick_0cm_S2,2026-04-25T09:50:05.216404,4,11,60,85,83,36,145,170,207,144,19,10,4,12,61,78,75,35,138,168,205,139,19,10,6,16,85,98,115,51,197,223,248,162,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,47,66,64,29,112,131,159,109,14,8,3,10,52,68,65,31,120,139,171,115,13,8,4,11,58,83,77,34,137,163,199,135,16,10,5,12,59,80,82,37,144,169,203,137,18,11,3.62,10.12,52.75,69.75,70.12,31.62,124.12,145.38,174.0,117.62,15.25,8.62
Brick_0cm_S2,2026-04-25T09:50:05.335410,4,11,60,85,83,36,146,170,207,144,19,10,4,12,61,78,75,35,138,168,205,139,19,10,6,16,85,98,115,51,197,222,248,162,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,47,66,64,29,112,131,159,109,14,8,3,10,52,68,65,31,120,139,171,115,13,8,4,11,58,83,77,34,137,163,199,135,16,10,5,12,59,81,82,37,143,169,203,137,18,11,3.62,10.12,52.75,69.88,70.12,31.62,124.12,145.25,174.0,117.62,15.25,8.62
Brick_0cm_S2,2026-04-25T09:50:05.466254,4,11,60,85,83,36,146,170,207,144,19,10,4,12,61,78,75,35,138,168,205,139,19,10,6,16,85,98,115,51,197,222,248,162,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,48,66,64,29,112,131,159,110,14,8,3,10,52,67,65,31,120,140,171,115,13,8,4,11,58,83,77,34,137,163,199,135,16,10,5,12,59,80,82,37,144,169,203,137,18,11,3.62,10.12,52.88,69.62,70.12,31.62,124.25,145.38,174.0,117.75,15.25,8.62
Brick_0cm_S2,2026-04-25T09:50:05.604881,5,11,60,85,83,36,146,169,207,144,19,10,4,12,61,79,76,35,138,168,205,139,19,10,6,16,85,98,115,50,197,222,248,161,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,48,66,64,29,112,131,159,110,14,8,3,10,52,67,65,31,120,140,171,115,13,8,4,11,58,83,77,34,137,163,199,135,16,10,5,12,59,80,82,37,144,169,203,137,18,11,3.75,10.12,52.88,69.75,70.25,31.5,124.25,145.25,174.0,117.62,15.25,8.62
Brick_0cm_S2,2026-04-25T09:50:05.729839,5,11,60,85,83,36,146,169,207,144,19,10,4,12,61,79,76,35,138,168,205,139,19,10,6,16,85,98,115,50,197,222,248,161,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,48,66,64,29,112,131,159,110,14,8,3,10,52,68,65,31,120,140,171,115,13,8,4,11,58,83,77,34,137,163,199,134,16,10,5,12,59,80,82,37,144,169,203,137,18,11,3.75,10.12,52.88,69.88,70.25,31.5,124.25,145.25,174.0,117.5,15.25,8.62
Brick_0cm_S2,2026-04-25T09:50:05.856983,4,11,60,85,83,36,145,169,207,143,19,10,4,12,61,78,76,35,137,168,205,139,19,10,6,16,85,98,115,50,197,223,249,162,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,48,66,64,29,112,131,159,110,14,8,3,10,52,68,65,31,120,140,171,115,13,8,4,11,58,83,77,34,137,163,199,134,16,10,5,12,59,80,82,37,144,169,203,137,18,11,3.62,10.12,52.88,69.75,70.25,31.5,124.0,145.38,174.12,117.5,15.25,8.62
Brick_0cm_S2,2026-04-25T09:50:05.983575,4,11,60,85,83,36,145,169,207,143,19,10,4,12,61,78,76,35,137,168,205,139,19,10,6,16,85,98,115,50,197,223,249,162,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,47,66,64,29,111,131,159,110,14,7,3,10,52,68,65,30,120,140,171,115,13,8,4,11,58,83,77,34,137,163,199,134,16,10,5,12,59,80,82,37,143,169,203,137,18,11,3.62,10.12,52.75,69.75,70.25,31.38,123.75,145.38,174.12,117.5,15.25,8.5
Brick_0cm_S2,2026-04-25T09:50:06.108705,4,11,60,86,83,36,146,169,207,144,19,10,4,12,61,79,75,35,138,168,205,139,19,10,6,16,85,98,115,51,197,223,248,162,23,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,47,66,64,29,111,131,159,110,14,8,3,10,52,68,65,30,120,140,171,115,13,8,4,11,58,83,77,34,137,163,199,134,16,10,5,12,59,80,82,37,143,169,203,137,18,11,3.62,10.12,52.75,70.0,70.12,31.5,124.0,145.38,174.0,117.62,15.25,8.62
